Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","academy.platinumcredit.co.ke","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.4.46 (Ubuntu)"
"10107","","","None","academy.platinumcredit.co.ke","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache/2.4.46 (Ubuntu)"
"10267","","","None","academy.platinumcredit.co.ke","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.10
SSH supported authentication : publickey,password
"
"10287","","","None","academy.platinumcredit.co.ke","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.100.213 to 35.173.70.205 : 
192.168.100.213
192.168.100.1
105.163.32.1
10.70.86.146
196.201.217.17
196.201.222.37
195.229.27.213
195.229.3.19
206.126.236.35
52.93.28.210
35.173.70.205

Hop Count: 10
"
"10386","","","None","academy.platinumcredit.co.ke","tcp","80","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was : 

    http://academy.platinumcredit.co.ke/RpnJlG8NRbzg.html
"
"10662","","","None","academy.platinumcredit.co.ke","tcp","443","Web mirroring","Nessus can crawl the remote website.","This plugin makes a mirror of the remote website(s) and extracts the
list of CGIs that are used by the remote host. 

It is suggested that you change the number of pages to mirror in the
'Options' section of the client.","n/a","","
Webmirror performed 853 queries in 1201s (0.0710 queries per second)

The following CGIs have been discovered :


+ CGI : /sign/resources/images/faviconec5d.ico
  Methods : GET
  Argument : 
   Value: PCLA


+ CGI : /sign/index.php
  Methods : POST
  Argument : footerForm
   Value: footerForm
  Argument : headerFormId
   Value: headerFormId
  Argument : headerFormId:langDdId:selectId_focus
  Argument : headerFormId:langDdId:selectId_input
  Argument : j_idt48
   Value: j_idt48
  Argument : javax.faces.ViewState


+ CGI : /sign/
  Methods : POST
  Argument : footerForm
   Value: footerForm
  Argument : headerFormId
   Value: headerFormId
  Argument : headerFormId:langDdId:selectId_focus
  Argument : headerFormId:langDdId:selectId_input
  Argument : j_idt48
   Value: j_idt48
  Argument : javax.faces.ViewState

Directory index found at /backup/
Directory index found at /report/
Directory index found at /install/
Directory index found at /backup/cc/
Directory index found at /backup/controller/
Directory index found at /backup/converter/
Directory index found at /backup/jun3_2020/
Directory index found at /backup/moodle2/
Directory index found at /backup/tests/
Directory index found at /backup/util/
Directory index found at /report/insights/
Directory index found at /install/lang/
Directory index found at /backup/cc/cc_lib/
Directory index found at /backup/cc/includes/
Directory index found at /backup/cc/schemas/
Directory index found at /backup/cc/schemas11/
Directory index found at /backup/cc/sheets/
Directory index found at /backup/controller/tests/
Directory index found at /backup/converter/imscc1/
Directory index found at /backup/converter/imscc11/
Directory index found at /backup/converter/moodle1/
Directory index found at /backup/moodle2/tests/
Directory index found at /backup/util/checks/
Directory index found at /backup/util/dbops/
Directory index found at /backup/util/destinations/
Directory index found at /backup/util/factories/
Directory index found at /backup/util/helper/
Directory index found at /backup/util/includes/
Directory index found at /backup/util/interfaces/
Directory index found at /backup/util/loggers/
Directory index found at /backup/util/output/
Directory index found at /backup/util/plan/
Directory index found at /backup/util/settings/
Directory index found at /backup/util/structure/
Directory index found at /backup/util/ui/
Directory index found at /backup/util/xml/
Directory index found at /report/insights/amd/
Directory index found at /report/insights/classes/
Directory index found at /report/insights/db/
Directory index found at /report/insights/lang/
Directory index found at /report/insights/templates/
Directory index found at /install/lang/af/
Directory index found at /install/lang/am/
Directory index found at /install/lang/an/
Directory index found at /install/lang/ar/
Directory index found at /install/lang/ast/
Directory index found at /install/lang/az/
Directory index found at /install/lang/ba/
Directory index found at /install/lang/be/
Directory index found at /install/lang/bg/
Directory index found at /install/lang/bi/
Directory index found at /install/lang/bm/
Directory index found at /install/lang/bn/
Directory index found at /install/lang/br/
Directory index found at /install/lang/bs/
Directory index found at /install/lang/ca/
Directory index found at /install/lang/ca_valencia/
Directory index found at /install/lang/ca_wp/
Directory index found at /install/lang/ckb/
Directory index found at /install/lang/cs/
Directory index found at /install/lang/cy/
Directory index found at /install/lang/da/
Directory index found at /install/lang/da_kursus/
Directory index found at /install/lang/da_rum/
Directory index found at /install/lang/de/
Directory index found at /install/lang/de_ch/
Directory index found at /install/lang/de_comm/
Directory index found at /install/lang/de_du/
Directory index found at /install/lang/de_kids/
Directory index found at /install/lang/de_wp/
Directory index found at /install/lang/dsb/
Directory index found at /install/lang/dv/
Directory index found at /install/lang/dz/
Directory index found at /install/lang/ee/
Directory index found at /install/lang/el/
Directory index found at /install/lang/el_kids/
Directory index found at /install/lang/el_uni/
Directory index found at /install/lang/el_wp/
Directory index found at /install/lang/en/
Directory index found at /install/lang/en_ar/
Directory index found at /install/lang/en_kids/
Directory index found at /install/lang/en_us/
Directory index found at /install/lang/en_us_k12/
Directory index found at /install/lang/en_wp/
Directory index found at /install/lang/eo/
Directory index found at /install/lang/es/
Directory index found at /install/lang/es_co/
Directory index found at /install/lang/es_mx/
Directory index found at /install/lang/es_mx_kids/
Directory index found at /install/lang/es_ve/
Directory index found at /install/lang/es_wp/
Directory index found at /install/lang/et/
Directory index found at /install/lang/eu/
Directory index found at /install/lang/fa/
Directory index found at /install/lang/fi/
Directory index found at /install/lang/fi_co/
Directory index found at /install/lang/fil/
Directory index found at /install/lang/fj/
Directory index found at /install/lang/fo/
Directory index found at /install/lang/fr/
Directory index found at /install/lang/fr_ca/
Directory index found at /install/lang/fr_wp/
Directory index found at /install/lang/ga/
Directory index found at /install/lang/gd/
Directory index found at /install/lang/gl/
Directory index found at /install/lang/gu/
Directory index found at /install/lang/ha/
Directory index found at /install/lang/hat/
Directory index found at /install/lang/haw/
Directory index found at /install/lang/he/
Directory index found at /install/lang/he_kids/
Directory index found at /install/lang/he_wp/
Directory index found at /install/lang/hi/
Directory index found at /install/lang/hi_wp/
Directory index found at /install/lang/hr/
Directory index found at /install/lang/hu/
Directory index found at /install/lang/hy/
Directory index found at /install/lang/id/
Directory index found at /install/lang/ig/
Directory index found at /install/lang/is/
Directory index found at /install/lang/it/
Directory index found at /install/lang/it_wp/
Directory index found at /install/lang/ja/
Directory index found at /install/lang/ja_kids/
Directory index found at /install/lang/ka/
Directory index found at /install/lang/kab/
Directory index found at /install/lang/kk/
Directory index found at /install/lang/kl/
Directory index found at /install/lang/km/
Directory index found at /install/lang/kmr/
Directory index found at /install/lang/kn/
Directory index found at /install/lang/ko/
Directory index found at /install/lang/ky/
Directory index found at /install/lang/la/
Directory index found at /install/lang/lb/
Directory index found at /install/lang/lo/
Directory index found at /install/lang/lt/
Directory index found at /install/lang/lt_uni/
Directory index found at /install/lang/lv/
Directory index found at /install/lang/mg/
Directory index found at /install/lang/mh/
Directory index found at /install/lang/mi/
Directory index found at /install/lang/mi_tn/
Directory index found at /install/lang/mi_wwow/
Directory index found at /install/lang/mis/
Directory index found at /install/lang/mk/
Directory index found at /install/lang/ml/
Directory index found at /install/lang/mn/
Directory index found at /install/lang/mn_mong/
Directory index found at /install/lang/mr/
Directory index found at /install/lang/ms/
Directory index found at /install/lang/my/
Directory index found at /install/lang/ne/
Directory index found at /install/lang/nl/
Directory index found at /install/lang/nn/
Directory index found at /install/lang/no/
Directory index found at /install/lang/no_gr/
Directory index found at /install/lang/no_wp/
Directory index found at /install/lang/oc_es/
Directory index found at /install/lang/oc_gsc/
Directory index found at /install/lang/oc_lnc/
Directory index found at /install/lang/or/
Directory index found at /install/lang/pan/
Directory index found at /install/lang/pcm/
Directory index found at /install/lang/pl/
Directory index found at /install/lang/ps/
Directory index found at /install/lang/pt/
Directory index found at /install/lang/pt_br/
Directory index found at /install/lang/rm_surs/
Directory index found at /install/lang/ro/
Directory index found at /install/lang/ro_wp/
Directory index found at /install/lang/ru/
Directory index found at /install/lang/rw/
Directory index found at /install/lang/se/
Directory index found at /install/lang/si/
Directory index found at /install/lang/sk/
Directory index found at /install/lang/sl/
Directory index found at /install/lang/sm/
Directory index found at /install/lang/sma/
Directory index found at /install/lang/smj/
Directory index found at /install/lang/so/
Directory index found at /install/lang/sq/
Directory index found at /install/lang/sr_cr/
Directory index found at /install/lang/sr_lt/
Directory index found at /install/lang/sv/
Directory index found at /install/lang/sv_fi/
Directory index found at /install/lang/sw/
Directory index found at /install/lang/ta/
Directory index found at /install/lang/ta_lk/
Directory index found at /install/lang/te/
Directory index found at /install/lang/tg/
Directory index found at /install/lang/th/
Directory index found at /install/lang/ti/
Directory index found at /install/lang/tk/
Directory index found at /install/lang/tl/
Directory index found at /install/lang/tn/
Directory index found at /install/lang/to/
Directory index found at /install/lang/tr/
Directory index found at /install/lang/tt/
Directory index found at /install/lang/ug_lt/
Directory index found at /install/lang/ug_ug/
Directory index found at /install/lang/uk/
Directory index found at /install/lang/ur/
Directory index found at /install/lang/uz/
Directory index found at /install/lang/vi/
Directory index found at /install/lang/wo/
Directory index found at /install/lang/xct/
Directory index found at /install/lang/zgh/
Directory index found at /install/lang/zh_cn/
Directory index found at /install/lang/zh_cn_wp/
Directory index found at /install/lang/zh_tw/
Directory index found at /install/lang/zh_tw_wp/
Directory index found at /install/lang/zu/
Directory index found at /sign/javax.faces.resource/
Directory index found at /sign/javax.faces.resource/fa/
Directory index found at /sign/resources/images/
Directory index found at /sign/resources/
Directory index found at /sign/resources/themes/
Directory index found at /themes-pcl/pcl-theme/
Directory index found at /themes-pcl/
Directory index found at /backup/cc/cc_lib/gral_lib/
Directory index found at /backup/cc/schemas/domainProfile_0/
Directory index found at /backup/cc/schemas/domainProfile_1/
Directory index found at /backup/cc/schemas/domainProfile_2/
Directory index found at /backup/cc/schemas/domainProfile_3/
Directory index found at /backup/cc/schemas/domainProfile_4/
Directory index found at /backup/cc/schemas/domainProfile_5/
Directory index found at /backup/cc/schemas/domainProfile_6/
Directory index found at /backup/controller/tests/fixtures/
Directory index found at /backup/converter/moodle1/tests/
Directory index found at /backup/moodle2/tests/behat/
Directory index found at /backup/moodle2/tests/fixtures/
Directory index found at /backup/util/checks/tests/
Directory index found at /backup/util/dbops/tests/
Directory index found at /backup/util/destinations/tests/
Directory index found at /backup/util/factories/tests/
Directory index found at /backup/util/helper/tests/
Directory index found at /backup/util/loggers/tests/
Directory index found at /backup/util/plan/tests/
Directory index found at /backup/util/settings/activity/
Directory index found at /backup/util/settings/course/
Directory index found at /backup/util/settings/root/
Directory index found at /backup/util/settings/section/
Directory index found at /backup/util/settings/tests/
Directory index found at /backup/util/structure/tests/
Directory index found at /backup/util/ui/amd/
Directory index found at /backup/util/ui/classes/
Directory index found at /backup/util/ui/tests/
Directory index found at /backup/util/ui/yui/
Directory index found at /backup/util/xml/contenttransformer/
Directory index found at /backup/util/xml/output/
Directory index found at /backup/util/xml/parser/
Directory index found at /backup/util/xml/tests/
Directory index found at /report/insights/amd/build/
Directory index found at /report/insights/amd/src/
Directory index found at /report/insights/classes/output/
Directory index found at /report/insights/classes/privacy/
Directory index found at /report/insights/lang/en/
"
"10863","","","None","academy.platinumcredit.co.ke","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: academy.platinumcredit.co.ke

Issuer Name: 

Country: US
Organization: Let's Encrypt
Common Name: R3

Serial Number: 04 46 F6 0F F2 89 84 8F 52 1F 80 16 C2 EA 5A F6 76 EA 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Sep 25 09:37:22 2022 GMT
Not Valid After: Dec 24 09:37:21 2022 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 9E 38 67 77 BB 7E 8B DC 74 20 A7 71 0C 18 27 AD 6B ED 9C 
            CC A4 67 49 90 65 A7 7C A4 67 C2 21 5A 40 8E 59 02 A0 7C 00 
            B7 B2 EF DF 26 B4 92 A3 C3 38 96 71 6C 7F 13 59 47 2C 5D 09 
            5A AE 96 A0 71 05 FF 9A 0C AC A1 F8 1C F8 A4 33 43 98 79 19 
            31 45 7F 55 2C FC 49 28 34 52 92 54 A9 08 81 57 77 CA 67 A8 
            58 0E 69 98 05 E9 EF 45 13 59 CF D8 98 68 5F CC B2 AB 3E 47 
            BA B5 DB BE 8B 18 72 43 C5 EA F2 23 0F 38 9F D4 95 89 B8 AD 
            37 28 2E FB 82 6C EA 5F A3 77 47 2D 9C C8 E9 DE 43 15 34 57 
            B2 40 4C C1 95 AF A4 26 18 19 A1 6F A8 83 EE C0 44 75 60 BD 
            3C 88 40 77 30 E7 86 2D F3 8B 74 59 8C C7 36 04 01 A1 FD 32 
            46 76 4C 64 AB 79 95 3C 33 1C C4 1E CA AA F6 7A BE 59 48 48 
            F2 AC 54 F2 BE C5 76 03 E9 18 00 A8 D3 B6 85 EC 1B 0C BB B0 
            ED CE 02 E4 85 6E C9 00 BE AE 57 94 E6 B9 87 D2 CF 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 7F EA 65 E1 2F B2 2E 41 95 E7 DB 65 5C 36 D2 5E 58 20 E0 
           82 82 4E AC D0 79 F0 AC 95 19 C9 48 A9 35 54 FF 87 3C 5E D7 
           B4 A2 FD CD 90 E6 1C 09 2E A2 83 C9 59 5E 76 3D 25 1D 9B F8 
           8D F4 FD BB 4C F9 66 C4 75 BD B8 EC 27 68 69 91 0F 3D 8D 4D 
           97 48 C0 85 6A 57 0D 89 C5 BA 48 A0 12 02 36 05 A9 1C 6F D4 
           8A A4 3B 59 DC C1 C7 CF A0 CC BF A6 8C C5 C1 32 AC 55 4D 93 
           51 D0 A2 2A 8D E7 E1 F5 88 C6 D6 6D DC E4 4B B9 3A 94 C8 2F 
           AD 91 04 B4 8C 47 43 07 C1 68 56 B0 6B E2 6C 21 A1 C0 69 8F 
           DB 2A 6D 91 1D 21 49 2A C9 9D 7D C2 7B 14 AD 8B 38 38 A8 1E 
           B7 CE E0 2F B5 8C 34 DD EC B9 C6 91 32 5C 53 87 BF 55 D7 3F 
           D9 01 40 16 D5 91 2D EA 4A 82 DF 58 82 D7 56 60 31 AC B6 6D 
           4E A7 14 A3 A5 56 9F B2 D0 33 2F 61 65 B1 9E BF 8A 35 1B 75 
           A1 5E E0 C9 75 6E 86 31 A4 2D 34 DB 76 BC AC 50 20 

Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)
Purpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)


Extension: Basic Constraints (2.5.29.19)
Critical: 1


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: F2 F2 AE 19 8D 89 D7 7D FA 59 D9 37 9D A0 E3 BE 7F CE 3E 7D 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 14 2E B3 17 B7 58 56 CB AE 50 09 40 E6 1F AF 9D 8B 14 C2 C6 


Extension: Authority Information Access (1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Online Certificate Status Protocol
URI: http://r3.o.lencr.org
Method#2: Certificate Authority Issuers
URI: http://r3.i.lencr.org/


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: academy.platinumcredit.co.ke


Extension: Policies (2.5.29.32)
Critical: 0
Policy ID #1: 2.23.140.1.2.1
Policy ID #2: 1.3.6.1.4.1.44947.1.1.1
Qualifier ID #2: Certification Practice Statement (1.3.6.1.5.5.7.2.1)
CPS URI: http://cps.letsencrypt.org


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 81 F2 00 F0 00 76 00 41 C8 CA B1 DF 22 46 4A 10 C6 A1 3A 
      09 42 87 5E 4E 31 8B 1B 03 EB EB 4B C7 68 F0 90 62 96 06 F6 
      00 00 01 83 74 39 18 A0 00 00 04 03 00 47 30 45 02 20 61 0E 
      6E 27 53 07 64 04 62 0E C9 0D 05 61 E3 1E 53 A2 1F C9 19 05 
      1B 86 2E 2F 14 1C 98 2D FA B3 02 21 00 84 C5 43 2A 8B 34 D6 
      C2 D2 37 D0 D4 7A 56 EF D3 3B 9A 75 E9 F5 FB B4 EC A4 F3 79 
      74 89 45 9B 4E 00 76 00 46 A5 55 EB 75 FA 91 20 30 B5 A2 89 
      69 F4 F3 7D 11 2C 41 74 BE FD 49 B8 85 AB F2 FC 70 FE 6D 47 
      00 00 01 83 74 39 18 B9 00 00 04 03 00 47 30 45 02 20 64 9D 
      56 B7 83 AD EC 84 B8 ED 53 AF 4F 6A 22 4A 91 BC 76 EC C3 80 
      45 F5 FA 21 0D 9C CA FD 8C 02 02 21 00 EF F0 E7 55 5C 3B 3E 
      8F 90 0F 13 76 7B 74 CD 95 7E 0B CB 36 CE B3 82 6B E9 04 AD 
      14 75 39 9F 7A 


Fingerprints : 

SHA-256 Fingerprint: AB 45 2B E9 88 A7 71 3B D5 16 22 91 D7 D1 8A 05 80 01 65 27 
                     E5 02 9F 19 E4 E9 09 CB 10 38 95 F1 
SHA-1 Fingerprint: 77 A7 45 66 42 7C 09 0D DE 13 A3 20 CF 4C E5 46 C4 CD 0C 91 
MD5 Fingerprint: F5 30 84 62 99 02 4F BF DD 74 9A B0 02 1F 70 E4 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIFPjCCBCagAwIBAgISBEb2D/KJhI9SH4AWwupa9nbqMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMjA5MjUwOTM3MjJaFw0yMjEyMjQwOTM3MjFaMCcxJTAjBgNVBAMTHGFjYWRlbXkucGxhdGludW1jcmVkaXQuY28ua2UwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCeOGd3u36L3HQgp3EMGCeta+2czKRnSZBlp3ykZ8IhWkCOWQKgfAC3su/fJrSSo8M4lnFsfxNZRyxdCVqulqBxBf+aDKyh+Bz4pDNDmHkZMUV/VSz8SSg0UpJUqQiBV3fKZ6hYDmmYBenvRRNZz9iYaF/Msqs+R7q1276LGHJDxeryIw84n9SVibitNygu+4Js6l+jd0ctnMjp3kMVNFeyQEzBla+kJhgZoW+og+7ARHVgvTyIQHcw54Yt84t0WYzHNgQBof0yRnZMZKt5lTwzHMQeyqr2er5ZSEjyrFTyvsV2A+kYAKjTtoXsGwy7sO3OAuSFbskAvq5XlOa5h9LPAgMBAAGjggJXMIICUzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFPLyrhmNidd9+lnZN52g475/zj59MB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMCcGA1UdEQQgMB6CHGFjYWRlbXkucGxhdGludW1jcmVkaXQuY28ua2UwTAYDVR0gBEUwQzAIBgZngQwBAgEwNwYLKwYBBAGC3xMBAQEwKDAmBggrBgEFBQcCARYaaHR0cDovL2Nwcy5sZXRzZW5jcnlwdC5vcmcwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgBByMqx3yJGShDGoToJQodeTjGLGwPr60vHaPCQYpYG9gAAAYN0ORigAAAEAwBHMEUCIGEObidTB2QEYg7JDQVh4x5Toh/JGQUbhi4vFByYLfqzAiEAhMVDKos01sLSN9DUelbv0zuaden1+7TspPN5dIlFm04AdgBGpVXrdfqRIDC1oolp9PN9ESxBdL79SbiFq/L8cP5tRwAAAYN0ORi5AAAEAwBHMEUCIGSdVreDreyEuO1Tr09qIkqRvHbsw4BF9fohDZzK/YwCAiEA7/DnVVw7Po+QDxN2e3TNlX4LyzbOs4Jr6QStFHU5n3owDQYJKoZIhvcNAQELBQADggEBAH/qZeEvsi5BlefbZVw20l5YIOCCgk6s0HnwrJUZyUipNVT/hzxe17Si/c2Q5hwJLqKDyVledj0lHZv4jfT9u0z5ZsR1vbjsJ2hpkQ89jU2XSMCFalcNicW6SKASAjYFqRxv1IqkO1ncwcfPoMy/pozFwTKsVU2TUdCiKo3n4fWIxtZt3ORLuTqUyC+tkQS0jEdDB8FoVrBr4mwhocBpj9sqbZEdIUkqyZ19wnsUrYs4OKget87gL7WMNN3sucaRMlxTh79V1z/ZAUAW1ZEt6kqC31iC11ZgMay2bU6nFKOlVp+y0DMvYWWxnr+KNRt1oV7gyXVuhjGkLTTbdrysUCA=
-----END CERTIFICATE-----"
"10881","","","None","academy.platinumcredit.co.ke","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
"
"11032","","","None","academy.platinumcredit.co.ke","tcp","443","Web Server Directory Enumeration","It is possible to enumerate directories on the web server.","This plugin attempts to determine the presence of various common
directories on the remote web server.  By sending a request for a
directory, the web server response code indicates if it is a valid
directory or not.","n/a","http://projects.webappsec.org/w/page/13246953/Predictable%20Resource%20Location","
The following directories were discovered:
/auth, /backup, /test, /icons, /install, /lib, /report

While this is not, in and of itself, a bug, you should manually inspect 
these directories to ensure that they are in compliance with company
security standards
"
"11219","","","None","academy.platinumcredit.co.ke","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open"
